listing_a,listing_b,category,comparable,confidence,reason
Helga's Bread Traditional Wholemeal 750g,The One Wholemeal Sandwich Bread,bread,,,
Helga's Bread Traditional Wholemeal 750g,Bread Wholemeal Plus Iron,bread,,,
Helga's Bread Traditional Wholemeal 750g,Traditional Wholemeal Bread,bread,,,
Helga's Bread Traditional Wholemeal 750g,High Fibre Wholemeal Bread,bread,,,
Helga's Bread Traditional Wholemeal 750g,Farmhouse Wholemeal Bread,bread,,,
Tip Top 9 Grain Classic Sandwich Slice Bread Loaf Bakery 700g,Harvest Seeds And Grain Bread,bread,,,
Tip Top 9 Grain Classic Sandwich Slice Bread Loaf Bakery 700g,High Fibre White Sandwich Bread,bread,,,
Tip Top The One White Sandwich Slice Bread Loaf Bakery 700g,Rustic White Bread,bread,,,
Tip Top The One White Sandwich Slice Bread Loaf Bakery 700g,The One White Toast Bread,bread,,,
Tip Top The One White Sandwich Slice Bread Loaf Bakery 700g,High Fibre White Sandwich Bread,bread,,,
Tip Top The One White Sandwich Slice Bread Loaf Bakery 700g,The One Bread White Sliced,bread,,,
Tip Top The One White Sandwich Slice Bread Loaf Bakery 700g,High Fibre White Toast Bread,bread,,,
Tip Top The One White Sandwich Slice Bread Loaf Bakery 700g,White Bread,bread,,,
Tip Top The One White Sandwich Slice Bread Loaf Bakery 700g,White Bread + Vitamins & Minerals,bread,,,
Tip Top The One White Toast Slice Bread Loaf Bakery 700g,Rustic White Bread,bread,,,
Tip Top The One White Toast Slice Bread Loaf Bakery 700g,Bread + Vitamins Toast,bread,,,
Tip Top The One White Toast Slice Bread Loaf Bakery 700g,The One White Toast Bread,bread,,,
Tip Top The One White Toast Slice Bread Loaf Bakery 700g,Raisin Toast Bread,bread,,,
Tip Top The One White Toast Slice Bread Loaf Bakery 700g,High Fibre White Sandwich Bread,bread,,,
Tip Top The One White Toast Slice Bread Loaf Bakery 700g,The One Bread White Sliced,bread,,,
Tip Top The One White Toast Slice Bread Loaf Bakery 700g,High Fibre White Toast Bread,bread,,,
